18/09; 2h; projetar, estudar; Reunião para a definição inicial de tarefas e entender como é feita uma documentação de requisitos.
25/09; 2h; revisar código do módulo, redigir script de teste, realizar os testes; Adaptar o módulo matriz e os respectivos testes para atender às especificações do T2.
25/09; 20 min; projetar; Criar o projeto visual studio, tirar dependências e criar um repositório de versionamento no GitHub.
30/09; 30 min; diagnosticar e corrigir os problemas encontrados; Corrigir problema no teste de matriz adaptado para o T2.
01/10; 30 min; especificar as funções, revisar código do módulo; Revisar e corrigir módulo interface do labirinto.
01/10; 2h; especificar as funções, codificar módulo, redigir script de teste, realizar os testes; Implementar e testar inteiramente a função de votar ao primeiro ponteiro, no módulo matriz.
02/10; 1h; revisar projetos, projetar; Colocar os arquivos de módulo de interface e implementação de labirinto no projeto, assim como fazer a documentação inicial da implementação.
02/10; 30 min; projetar; Criar no Trello tarefas a serem executadas até o fim do T2.
02/10; 1h; revisar especificações, revisar projetos; Revisar a arquitetura, assim como as funções de interface do labirinto e documentação necessária.
02/10; 5 min; codificar módulo; Definir tipo elemento do labirinto.
02/10; 25 min; especificar as funções; Condições de acoplamento do módulo Matriz.
02/10; 40 min; especificar as funções; Condições de acoplamento do módulo Labirinto.
03/10; 2h; codificar as funções; Implementação de Criar Labirinto e Destruir Labirinto.
03/10; 15 min; codificar as funções; Implementação de AndarDirecao.
03/10; 15 min; revisar código do módulo, diagnosticar e corrigir os problemas encontrados; Revisar arquivo de testes do labirinto e corrigir problemas de coerência.
03/10; 2:40h; codificar as funções; Implementação de InserirElemento.
04/10; 1h; especificar os módulos, projetar; Criar o desenho das estruturas do modelo físico.
04/10; 15 min; codificar as funções, diagnosticar e corrigir os problemas encontrados ; Correção na função de InserirElemento, adicionado arquivo batch de teste de labirinto.
04/10; 1h; especificar os módulos, projetar; Elaborar um exemplo para o modelo físico e criar o desenho.
05/10; 30 min; revisar script de teste; Corrigir erros de digitação e inserir casos de teste que faltavam.
05/10; 25 min; realizar os testes, diagnosticar e corrigir os problemas encontrados; Realizar testes de todos os casos, consertar um bug na função de criação de labirinto.
05/10; 15 min; especificar os módulos; Documentação de descrição do módulo Labirinto.
